price,community,layout,perprice,region,area,payment,year,orientation,type,floor,renovation,elevator
74.8,雄飞国际新城,3室2厅2卫,6504,"威远县－威远城区－东风北路,近小河东路",115,22.44,2016,南北,普通住宅,低层(共28层),精装修,有
56,都英小区,3室2厅1卫,6364,隆昌市－隆昌城区－重庆路86号,88,16.8,2010,南北,普通住宅,低层(共26层),精装修,有
73.8,鸿通春天江与城,3室2厅1卫,7455,"东兴区－东兴－兰桂大道,近北环路",99,22.14,2016,南北,普通住宅,中层(共32层),精装修,有
56.8,船锦城南1号,3室2厅2卫,6375,资中县－资中城区－资州大道南二段36号,89.1,17.04,2015,南北,普通住宅,高层(共21层),毛坯,有
79.8,海棠雅居,3室2厅2卫,9500,东兴区－月儿湾－大千路869号,84,23.94,2013,南北,普通住宅,中层(共25层),精装修,有
57.8,金科集美天宸,3室2厅2卫,5505,"市中区－城西－甜城大道,近汉渝大道",105,17.34,2020,南北,普通住宅,中层(共33层),毛坯,有
65.8,甜城国际社区B区,3室2厅2卫,6388,市中区－城西－南鞍路,103,19.74,2019,南北,普通住宅,中层(共25层),精装修,有
69.8,邦泰国际公馆(西区),3室2厅1卫,9694,东兴区－新六中－北环路888号,72,20.94,2015,南北,普通住宅,中层(共28层),精装修,有
99.8,北关新城和坊,3室2厅2卫,8678,隆昌市－隆昌城区－大北街121号,115,29.94,2012,南北,普通住宅,高层(共18层),精装修,无
74.6,嘉和宽庭,3室2厅1卫,8198,隆昌市－隆昌城区－古宇路261号,91,22.38,2013,南,普通住宅,低层(共28层),精装修,有
63,荷香苑,3室2厅1卫,6225,市中区－城西－双苏路269号,101.2,18.9,2012,南北,普通住宅,中层(共33层),精装修,有
63.8,公园御景,3室2厅1卫,6577,市中区－城西－公园街458号,97,19.14,2012,南北,普通住宅,高层(共26层),豪华装修,有
55,汉安首座,3室2厅1卫,5914,市中区－城西－虹桥中路2号,93,16.5,2010,南北,普通住宅,低层(共28层),毛坯,有
53,都英小区,3室2厅1卫,5955,隆昌市－隆昌城区－重庆路86号,89,15.9,2014,南北,普通住宅,低层(共26层),精装修,有
79.8,北关新城和坊,3室2厅2卫,7748,隆昌市－隆昌城区－大北街121号,103,23.94,2014,南北,普通住宅,低层(共28层),精装修,无
68.8,西林盛景,3室2厅2卫,5733,东兴区－月儿湾－汉安大道376号,120,20.64,2009,南,普通住宅,低层(共26层),简单装修,有
64.8,财富国际,3室2厅2卫,7281,"资中县－资中城区－资州大道,近祥云街",89,19.44,2015,南北,普通住宅,低层(共29层),精装修,有
72.8,鸿通春天江与城,3室2厅1卫,9973,"东兴区－东兴－兰桂大道,近北环路",73,21.84,2017,南,普通住宅,中层(共32层),精装修,有
82.8,领地公馆,3室2厅1卫,9628,隆昌市－隆昌城区－隆华路118号,86,24.84,2017,东,普通住宅,中层(共26层),精装修,有
71.8,鸿通春天江与城,3室2厅1卫,9787,"东兴区－东兴－兰桂大道,近北环路",73.4,21.54,2015,南北,普通住宅,中层(共34层),精装修,有
57.8,上府国奥公馆,3室2厅2卫,5759,"资中县－资中城区－成渝上街,近321国道",100.4,17.34,2019,南北,普通住宅,高层(共26层),毛坯,有
89.8,领地公馆,3室2厅2卫,9453,隆昌市－隆昌城区－隆华路118号,95,26.94,2017,南北,普通住宅,中层(共26层),精装修,有
76.8,花满庭,3室2厅2卫,7918,东兴区－新六中－汉安大道西380号,97,23.04,2015,南北,普通住宅,高层(共26层),精装修,无
73.8,观岭国际社区,3室2厅1卫,7768,隆昌市－隆昌城区－环城南路三段415号,95,22.14,2016,南北,普通住宅,高层(共26层),精装修,有
86.6,嘉和宽庭,3室2厅2卫,8574,隆昌市－隆昌城区－古宇路261号,101,25.98,2016,南北,普通住宅,低层(共28层),精装修,有
76.8,鸿通春天江与城,3室2厅2卫,9722,"东兴区－东兴－兰桂大道,近北环路",79,23.04,2016,南北,普通住宅,中层(共30层),精装修,有
48.2,远达世纪城,3室2厅2卫,5122,资中县－资中城区－凤鸣路,94.1,14.46,2020,南北,普通住宅,低层(共26层),毛坯,有
85.8,嘉和宽庭,3室2厅2卫,8580,隆昌市－隆昌城区－古宇路261号,100,25.74,2016,南北,普通住宅,低层(共29层),精装修,有
56.8,甜城国际社区A区,3室2厅1卫,6382,市中区－城西－石羊大道北段,89,17.04,2018,南北,普通住宅,中层(共32层),毛坯,有
83.6,邦泰国际社区御峰,3室2厅1卫,9687,东兴区－三湾路－双凤路,86.3,25.08,2017,南北,普通住宅,中层(共32层),精装修,有
66,和都国际,3室2厅2卫,6226,东兴区－东兴周边－大千路北延线北环路889号,106,19.8,2017,南北,普通住宅,中层(共31层),毛坯,有
78.8,海棠雅居,3室2厅1卫,9381,东兴区－月儿湾－大千路869号,84,23.64,2013,南北,普通住宅,中层(共25层),精装修,有
62.8,船城首座,3室2厅1卫,7218,资中县－资中城区－滨江西路,87,18.84,2015,南北,普通住宅,中层(共29层),精装修,有
67.8,大盛现代城,3室2厅1卫,5697,市中区－城西－交通路559号,119,20.34,2006,南北,普通住宅,低层(共29层),精装修,有
86.6,嘉和宽庭,3室2厅1卫,8408,隆昌市－隆昌城区－古宇路261号,103,25.98,2016,南北,普通住宅,低层(共26层),精装修,有
73.6,观岭国际社区,3室2厅1卫,7747,隆昌市－隆昌城区－环城南路三段415号,95,22.08,2017,南,普通住宅,高层(共26层),精装修,有
56.8,金山晶座,3室2厅1卫,6396,资中县－资中城区－滨江西路236号,88.8,17.04,2012,南北,普通住宅,中层(共31层),毛坯,有
79.8,邦泰国际社区御峰,3室2厅1卫,9120,东兴区－三湾路－双凤路,87.5,23.94,2017,南北,普通住宅,低层(共28层),精装修,有
82.8,领地公馆,3室2厅1卫,9628,隆昌市－隆昌城区－隆华路118号,86,24.84,2018,南北,普通住宅,中层(共26层),精装修,有
57.8,凤凰城,3室2厅2卫,5898,"资中县－资中城区－321国道,近资州大道",98,17.34,2015,南北,普通住宅,中层(共33层),毛坯,有
57.8,凤凰城,3室2厅1卫,7101,"资中县－资中城区－321国道,近资州大道",81.4,17.34,2015,南北,普通住宅,中层(共33层),精装修,有
78.8,鸿通春天江与城,3室2厅2卫,10023,"东兴区－东兴－兰桂大道,近北环路",78.6,23.64,2015,南北,普通住宅,中层(共33层),精装修,有
61,江语丽府,3室2厅1卫,6158,资中县－资中城区－滨江东路399号,99.1,18.3,2014,南北,普通住宅,高层(共28层),毛坯,有
58.8,现代国际,3室2厅1卫,6189,资中县－资中城区－资州大道南一段46号,95,17.64,2013,南北,普通住宅,中层(共33层),毛坯,有
61.8,凤凰城,3室2厅1卫,6688,"资中县－资中城区－321国道,近资州大道",92.4,18.54,2014,南北,普通住宅,高层(共26层),精装修,有
52.8,现代国际,3室2厅2卫,5913,资中县－资中城区－资州大道南一段46号,89.3,15.84,2014,南北,普通住宅,高层(共29层),毛坯,有
73.8,中铁城市中心,3室2厅2卫,8208,"资中县－资中城区－资州大道,近春岚北路",89.9,22.14,2015,南北,普通住宅,中层(共30层),精装修,有
53.8,新华维港城,3室2厅2卫,5663,市中区－城西－石羊大道北段222号,95,16.14,2019,南北,普通住宅,中层(共25层),精装修,有
69.8,船城首座,3室2厅2卫,7822,资中县－资中城区－滨江西路,89.2,20.94,2017,南北,普通住宅,中层(共33层),毛坯,有
64.6,恒大锦城,3室2厅2卫,6396,资中县－资中城区－凤祥中路,101,19.38,2019,南,普通住宅,高层(共19层),精装修,有
48.6,和喜御南台,3室2厅2卫,5718,"资中县－资中城区－资州大道,近春岚北路",85,14.58,2018,南北,普通住宅,高层(共18层),毛坯,有
57.8,凤凰城,3室2厅1卫,7032,"资中县－资中城区－321国道,近资州大道",82.2,17.34,2013,南北,普通住宅,中层(共33层),精装修,有
79.8,观岭国际社区,3室2厅2卫,7389,隆昌市－隆昌城区－环城南路三段415号,108,23.94,2015,南北,普通住宅,低层(共26层),精装修,有
72.8,中铁城市中心,3室2厅2卫,7583,"资中县－资中城区－资州大道,近春岚北路",96,21.84,2015,南北,普通住宅,中层(共29层),精装修,有
62,凤凰城,3室2厅1卫,6739,"资中县－资中城区－321国道,近资州大道",92,18.6,2013,南北,普通住宅,中层(共26层),精装修,有
70,中铁城市中心,3室2厅2卫,6796,"资中县－资中城区－资州大道,近春岚北路",103,21,2017,南北,普通住宅,高层(共19层),毛坯,有
56.8,金科集美星辰,3室2厅2卫,6108,市中区－城西－汉安大道西段,93,17.04,2019,南北,普通住宅,高层(共26层),毛坯,有
63,江语丽府,3室2厅2卫,5917,资中县－资中城区－滨江东路399号,106.5,18.9,2015,南北,普通住宅,高层(共28层),毛坯,有
66.8,金山晶座,3室2厅1卫,7506,资中县－资中城区－滨江西路236号,89,20.04,2015,南北,普通住宅,中层(共29层),精装修,有
78.8,银杏家园,3室2厅2卫,6678,东兴区－月儿湾－兴隆路380号,118,23.64,2013,南北,普通住宅,高层(共28层),豪华装修,有
62.8,蓝色地中海,3室2厅1卫,7056,威远县－威远城区－罗家坝街,89,18.84,2016,南北,普通住宅,高层(共28层),精装修,有
63.8,雄飞国际新城,3室2厅1卫,6380,"威远县－威远城区－东风北路,近小河东路",100,19.14,2016,南北,普通住宅,低层(共28层),精装修,有
57.8,凤凰城,3室2厅1卫,7101,"资中县－资中城区－321国道,近资州大道",81.4,17.34,2013,南北,普通住宅,中层(共33层),精装修,有
56,昌建君悦府,3室2厅2卫,6022,市中区－城西－石羊大道北段,93,16.8,2018,南北,普通住宅,中层(共30层),毛坯,有
78.2,翡翠国际社区,3室2厅1卫,8937,东兴区－东兴－汉安大道西段927号,87.5,23.46,2014,南北,普通住宅,低层(共26层),精装修,有
57,凤凰城,3室2厅1卫,6951,"资中县－资中城区－321国道,近资州大道",82,17.1,2014,南,普通住宅,中层(共26层),精装修,有
72.8,西林盛景,3室2厅2卫,6222,东兴区－月儿湾－汉安大道376号,117,21.84,2012,南北,普通住宅,高层(共28层),精装修,有
56,昌建君悦府,3室2厅2卫,6022,市中区－城西－石羊大道北段,93,16.8,2018,南北,普通住宅,中层(共30层),毛坯,有
78.2,翡翠国际社区,3室2厅1卫,8937,东兴区－东兴－汉安大道西段927号,87.5,23.46,2014,南北,普通住宅,低层(共26层),精装修,有
