价格（万）,小区,房屋户型,房屋单价（元/m²）,所在位置,建筑面积（平方米）,参考首付（万）,建造年代（年）,房屋朝向,参考月供,房屋类型,所在楼层,装修程度,配套电梯,产权性质,是否一手房源
51.8万,桐梓小区2期,3室2厅1卫,6612,东兴区－三湾路－星桥街,78.3,15.54,2007,南北,,普通住宅,低层(共6层),精装修,有,商品房,否
69.8万,凤凰城,3室2厅2卫,6123,"资中县－资中城区－321国道,近资州大道",114,20.94,2012,南北,,普通住宅,低层(共33层),精装修,有,商品房,否
56.8万,江城花园,3室2厅2卫,5569,市中区－城西－江华街6号,102,17.04,2008,南北,,普通住宅,低层(共24层),精装修,有,商品房,否
49.8万,桐梓小区2期,3室2厅1卫,6357,东兴区－三湾路－星桥街,78.3,14.94,2015,南北,,普通住宅,低层(共8层),精装修,有,商品房,否
56.8万,江城花园,3室2厅2卫,5569,市中区－城西－江华街6号,102,17.04,2011,南北,,普通住宅,低层(共24层),精装修,有,商品房,否
26.8万,中心街57号院,3室2厅2卫,3153,威远县－威远城区－中心街57号,85,8.04,1999,南北,,普通住宅,共5层,精装修,无,商品房,否
64.9万,现代国际,3室2厅1卫,6760,资中县－资中城区－资州大道南一段46号,96,19.47,2013,南北,,普通住宅,中层(共33层),精装修,有,商品房,否
66.8万,西锦园,3室2厅2卫,6423,东兴区－月儿湾－兴隆路382号,104,20.04,2012,南北,,普通住宅,低层(共6层),精装修,无,商品房,否
64.9万,现代国际,3室2厅1卫,6756,资中县－资中城区－资州大道南一段46号,96.1,19.47,2015,南北,,普通住宅,中层(共33层),精装修,有,商品房,否
75.8万,西浦观邸第一城,3室2厅2卫,6370,市中区－城西－甜城大道南段488号,119,22.74,2016,南北,,普通住宅,高层(共33层),精装修,有,商品房,否
63.8万,元亨花园,3室2厅1卫,6076,隆昌市－隆昌城区－望城街46号,105,19.14,2001,南北,,普通住宅,低层(共7层),精装修,无,商品房,否
77.6万,远达西城郡,3室2厅1卫,8255,隆昌市－隆昌城区－中山路二段69号,94,23.28,2017,南北,,普通住宅,低层(共17层),精装修,有,商品房,否
35.8万,公园街社区,3室2厅1卫,3653,市中区－城西－公园街184号,98,10.74,2000,南北,,普通住宅,低层(共6层),简单装修,无,商品房,否
55.8万,鸿运佳苑,3室2厅2卫,4982,威远县－威远城区－三河路177号,112,16.74,2008,南,,普通住宅,低层(共6层),精装修,无,商品房,否
45万,新华路东三巷30号院,3室2厅1卫,4688,市中区－城西－新华路东三巷30号,96,13.50,2000,南北,,普通住宅,低层(共6层),精装修,无,商品房,否
65万,少公馆,3室2厅1卫,6436,东兴区－新六中－西林大道309号,101,19.50,2012,南北,,普通住宅,高层(共30层),精装修,有,商品房,否
76.6万,文兴苑小区,3室2厅1卫,7737,隆昌市－隆昌城区－文兴苑,99,22.98,2012,南,,普通住宅,低层(共7层),精装修,无,商品房,否
60.2万,西雅图金山城,3室2厅1卫,7201,东兴区－新六中－东兴大道1668号,83.6,18.06,2015,南北,,普通住宅,低层(共6层),精装修,无,商品房,否
47.8万,凤窝街133号院,3室2厅1卫,5432,东兴区－东兴－凤窝街133号,88,14.34,2000,南北,,普通住宅,低层(共6层),精装修,无,商品房,否
44.9万,民族路133号院,3室2厅1卫,4873,市中区－城西－民族路133号,92.1,13.46,2000,南北,,普通住宅,低层(共7层),精装修,无,商品房,否
50.8万,英伦世家,3室2厅1卫,5462,"市中区－城西－内资路,汉渝大道",93,15.24,2016,南北,,普通住宅,高层(共33层),豪华装修,无,商品房,否
63.8万,邦泰天誉,3室2厅1卫,7943,东兴区－三湾路－栖霞路,80.3,19.14,2015,南北,,普通住宅,低层(共9层),精装修,有,商品房,否
73.8万,金山一品,3室2厅2卫,7380,"资中县－资中城区－资州大道,近抚琴街",100,22.14,2013,南,,普通住宅,中层(共33层),豪华装修,有,商品房,否
66万,传化广场锦城A区,3室2厅1卫,7097,东兴区－三湾路－汉安大道,93,19.80,2020,南北,,普通住宅,低层(共33层),毛坯,有,商品房,否
85.8万,锦林新苑,3室2厅2卫,6403,隆昌市－隆昌城区－大西街二段66号,134,25.74,2006,东南,,普通住宅,低层(共6层),精装修,无,商品房,否
54万,嘉云庭,3室2厅1卫,6136,东兴区－三湾路－兴盛路东段520号,88,16.20,2015,南北,,普通住宅,低层(共32层),毛坯,有,商品房,否
49.8万,鸿通春天公园城,3室2厅1卫,8513,市中区－城西－松山南路135号,58.5,14.94,2015,南北,,普通住宅,低层(共30层),精装修,有,商品房,否
69.8万,金山一品,3室2厅2卫,8780,"资中县－资中城区－资州大道,近抚琴街",79.5,20.94,2010,南北,,普通住宅,高层(共33层),精装修,有,商品房,否
70.8万,加州蓝湾,3室2厅2卫,5446,东兴区－新六中－临江路548号,130,21.24,2010,南北,,普通住宅,高层(共33层),精装修,有,商品房,否
83.6万,汇宇棕榈湾,3室2厅2卫,7962,东兴区－月儿湾－汉安大道西669号,105,25.08,2010,南北,,普通住宅,低层(共6层),精装修,无,商品房,否
63.8万,锦绣家园(威远),3室2厅2卫,5748,"威远县－威远城区－滨河路,近二环路",111,19.14,2013,东西,,普通住宅,低层(共12层),豪华装修,有,商品房,否
55.6万,鸿通春天公园城,3室2厅1卫,5616,市中区－城西－松山南路135号,99,16.68,2015,南北,,普通住宅,高层(共33层),豪华装修,有,商品房,否
72.8万,万晟城峰景,3室2厅1卫,9368,东兴区－三湾路－汉安大道东段111号,77.7,21.84,2014,南,,普通住宅,低层(共29层),精装修,有,商品房,否
68万,锦华都,3室2厅1卫,8070,东兴区－月儿湾－汉安大道东段888号,84.3,20.40,2014,南北,,普通住宅,中层(共32层),精装修,有,商品房,否
49万,鑫城花园,3室2厅2卫,3858,资中县－资中城区－郁春路1号,127,14.70,2011,南北,,普通住宅,低层(共7层),精装修,无,商品房,否
81.8万,万达中央华城2期,3室2厅2卫,7505,东兴区－东兴－栖霞路599号,109,24.54,2015,南北,,普通住宅,中层(共31层),精装修,有,商品房,否
55万,荣威尚景,3室2厅2卫,5000,"威远县－威远城区－二环路,近顺城街",110,16.50,2018,南北,,普通住宅,低层(共16层),毛坯,有,商品房,否
27.8万,外南街78号院,3室2厅2卫,3475,威远县－威远城区－外南街78号,80,8.34,1992,南北,,普通住宅,共5层,豪华装修,无,商品房,否
75.6万,欧景城伊顿公馆,3室2厅1卫,6873,威远县－威远城区－外北路东段354号,110,22.68,2013,南北,,公寓,低层(共8层),精装修,有,商品房,否
98.8万,万晟城华府,3室2厅2卫,9234,"东兴区－月儿湾－汉安大道,近321国道",107,29.64,2015,南北,,普通住宅,高层(共32层),精装修,有,商品房,否
68.8万,邦泰国际西区,3室2厅1卫,9829,东兴区－新六中－北环路888号,70,20.64,2015,南北,,普通住宅,高层(共32层),精装修,有,商品房,否
48.8万,凤窝街133号院,3室2厅1卫,5609,东兴区－东兴－凤窝街133号,87,14.64,2010,南北,,普通住宅,低层(共8层),精装修,无,商品房,否
38万,新华路西二巷28号院,3室2厅1卫,4750,市中区－城西－新华路西二巷28号,80,11.40,2000,南北,,普通住宅,低层(共7层),精装修,无,商品房,否
